Ticker
AFKS
AFLT
AGRO
ALRS
ASTR
BSPB
CBOM
CHMF
ENPG
FEES
FIVE
FLOT
GAZP
GMKN
HYDR
IRAO
LEAS
LKOH
MAGN
MGNT
MOEX
MSNG
MTLR
MTLRP
MTSS
NLMK
NVTK
OZON
PHOR
PIKK
PLZL
POSI
ROSN
RTKM
RUAL
SBER
SBERP
SELG
SMLT
SNGS
SNGSP
TATN
TATNP
TCSG
TRNFP
UPRO
VKCO
VTBR
YDEX
